Program                                   |P|   #R  Inv    Time
SLL-create                                  5    4    2    0.30
SLL-delete-all                             22    5    2    5.32
SLL-delete                                265    6   48    4.36
SLL-filter                                 63    6   10    2.00
SLL-find                                  140    7   49    1.36
SLL-insert                                201   17   27   59.39
SLL-last                                   63    6   10    0.93
SLL-merge                                 416   15   54  767.26
SLL-reverse                                63    6    7    1.17
g_list_find                                48    8   10    2.32
g_list_free                                22    6    2    1.58
g_list_index                              237   12   58    6.76
g_list_last                                22    4    7    0.47
g_list_length                              88   15   17    4.41
g_list_nth                                 88    8   18    2.30
g_list_nth_data                           342   13   63    7.80
g_list_position                           162   14   19   10.01
g_list_reverse                            320    0    0    0.49
g_slist_copy                              368    9  102   15.39
g_slist_find                               48    8   10    1.96
g_slist_free                               22    6    2    1.80
g_slist_index                             237   11   58    5.25
g_slist_insert                            464   33   51  510.88
g_slist_insert_before                     795   23  115  334.18
g_slist_insert_sorted                     520   16  140  250.60
g_slist_last                               32    5    9    1.02
g_slist_length                             54    8   13    2.13
g_slist_nth                                88    8   18    2.23
g_slist_nth_data                          342   13   63    7.40
g_slist_position                          162   14   19    9.05
g_slist_remove                            140    6   29    2.78
g_slist_remove_all                        380   17   16  150.67
g_slist_remove_link                       325   10   58    9.97
g_slist_reverse                           117    9    9    7.76
dl_concat                                  63    6   18    1.05
dl_copy                                    63    6   16    4.84
dl_dispose                                140    8    6    4.95
dl_filter                                 140    6   10   11.98
dl_insert                                  63    4   20    0.82
dl_remove                                  22    4    7    1.04
dl_reverse                                 63    6    7    1.92
dl_traverse                                22    0    0    0.05
sl_concat                                  63    6   18    0.86
sl_copy                                    63    6   16    4.95
sl_dispose                                 22    5    2    1.27
sl_filter                                 140    7   10   15.35
sl_insert                                  63    4   20    0.78
sl_remove                                  22    4    7    1.10
sl_reverse                                 63    6    7    1.43
sl_traverse                                22    0    0    0.09
sls_concat                                153    9   30    8.95
sls_copy                                  496   12   95  897.71
sls_dispose                                40    9    4    3.74
sls_double_all                            496   16  103   44.27
sls_filter                                496   21   31  523.16
sls_insert                                153    7   30   11.69
sls_merge                                 416   11   34  907.26
sls_remove                                496   16  120   55.69
sls_reverse                               102    6   14   19.49
sls_split                                 153    8   30  163.01
sls_traverse                               40    0    0    0.10
find_last_sorted                           40    5   12    1.71
reverse_sorted                            102    6   14   11.72
sorted_insert_iter                        201   11   49   72.84
