Program                                   |P|   #R  Inv    Time
SLL-create                                  5    4    1    0.29
SLL-delete-all                             22    4    1    5.80
SLL-delete                                265    4   25    3.19
SLL-filter                                 63    6    7    2.13
SLL-find                                  140    5   12    1.05
SLL-insert                                201    7   15   41.24
SLL-last                                   63    6    7    0.98
SLL-merge                                 416   12   42  588.93
SLL-reverse                                63    7    5    1.31
g_list_find                                48    8    6    2.27
g_list_free                                22    5    1    1.71
g_list_index                              237    8   39    5.83
g_list_last                                22    5    4    0.60
g_list_length                              88    5   11    1.97
g_list_nth                                 88    7   10    2.02
g_list_nth_data                           342    6   38    3.67
g_list_position                           162    8   11    6.76
g_list_reverse                            320    0    0    0.48
g_slist_copy                              368    3   70    8.31
g_slist_find                               48    8    5    1.83
g_slist_free                               22    5    1    1.49
g_slist_index                             237    8   43    4.64
g_slist_insert                            464    9   26  144.91
g_slist_insert_before                     795   10   36  185.30
g_slist_insert_sorted                     520    9   30  185.31
g_slist_last                               32    5    6    1.06
g_slist_length                             54    6    9    1.65
g_slist_nth                                88    7   10    2.07
g_slist_nth_data                          342    8   29    4.84
g_slist_position                          162    8   11    6.23
g_slist_remove                            140    5   12    3.33
g_slist_remove_all                        380   20   10  297.02
g_slist_remove_link                       325    7   25   40.41
g_slist_reverse                           117   10    7    9.95
dl_concat                                  63    5    9    1.08
dl_copy                                    63    5   10    4.63
dl_dispose                                140    9    4    7.63
dl_filter                                 140    5    9   12.48
dl_insert                                  63    6    9    1.24
dl_remove                                  22    5    4    1.13
dl_reverse                                 63    7    5    2.25
dl_traverse                                22    0    0    0.06
sl_concat                                  63    6    9    0.87
sl_copy                                    63    8   13    6.30
sl_dispose                                 22    5    1    1.25
sl_filter                                 140    5    9   13.05
sl_insert                                  63    6    9    1.18
sl_remove                                  22    4    4    1.09
sl_reverse                                 63    7    5    1.67
sl_traverse                                22    0    0    0.09
sls_concat                                153    6   17    9.92
sls_copy                                  496   11   67  711.42
sls_dispose                                40   10    3    4.80
sls_double_all                            496    9   59   26.36
sls_filter                                496   13   19  485.18
sls_insert                                153    7   17   13.68
sls_merge                                 416   12   31  980.18
sls_remove                                496   10   56   38.30
sls_reverse                               102    9   12   26.17
sls_split                                 153   10   23  306.69
sls_traverse                               40    0    0    0.11
find_last_sorted                           40    6    9    1.82
reverse_sorted                            102    7    8   12.67
sorted_insert_iter                        201    8   28   75.40
