Program                                   |P|   #R  Inv    Time
SLL-create                                  5    5    1    0.14
SLL-delete-all                             22   14    1    5.85
SLL-delete                                265  106   47   10.91
SLL-filter                                 63   34    9    2.46
SLL-find                                  140   53   45    3.62
SLL-insert                                201   65   26   43.90
SLL-last                                   63   34    9    1.44
SLL-merge                                 416   71   46  327.69
SLL-reverse                                63   36    4    2.06
g_list_find                                48   18    9    0.90
g_list_free                                22   15    1    0.96
g_list_index                              237   68   57    7.35
g_list_last                                22   15    6    0.38
g_list_length                              88   24   16    1.25
g_list_nth                                 88   26   17    1.22
g_list_nth_data                           342   99   62   10.62
g_list_position                           162   32   18    3.17
g_list_reverse                            320   84    2   21.32
g_slist_copy                              368  123  101   56.22
g_slist_find                               48   18    9    0.97
g_slist_free                               22   15    1    1.38
g_slist_index                             237   68   57    6.74
g_slist_insert                            464  160   50  206.41
g_slist_insert_before                     795  279  114  536.47
g_slist_insert_sorted                     520  193  135  201.01
g_slist_last                               32   19    8    0.82
g_slist_length                             54   20   12    1.01
g_slist_nth                                88   26   17    1.17
g_slist_nth_data                          342   99   62    9.80
g_slist_position                          162   32   18    3.04
g_slist_remove                            140   73   28    5.48
g_slist_remove_all                        380  132   15   61.29
g_slist_remove_link                       325   85   57   15.35
g_slist_reverse                           117   58    6    5.52
dl_concat                                  63   26   15    0.86
dl_copy                                    63   32   12    3.30
dl_dispose                                140   44    4    7.35
dl_filter                                 140   63    9    5.26
dl_insert                                  63   31   19    1.09
dl_remove                                  22   15    6    0.55
dl_reverse                                 63   36    4    1.92
dl_traverse                                22   14    4    0.26
sl_concat                                  63   26   15    1.08
sl_copy                                    63   32   12    2.82
sl_dispose                                 22   14    1    0.81
sl_filter                                 140   63    9    6.81
sl_insert                                  63   31   19    1.58
sl_remove                                  22   15    6    0.68
sl_reverse                                 63   36    4    2.16
sl_traverse                                22   15    4    0.35
sls_concat                                153   38   27   10.93
sls_copy                                  496  144   94 1623.09
sls_dispose                                40   16    3    1.65
sls_double_all                            496  106  102  117.04
sls_filter                                496  127   30  160.38
sls_insert                                153   53   29   19.03
sls_merge                                 416   63   29  326.35
sls_remove                                496  165  119   66.32
sls_reverse                               102   28   13   20.56
sls_split                                 153   53   29   90.38
sls_traverse                               40   18    9    1.09
memory_region_create_user_space_region      7    3    7    0.05
memory_region_find                         24   16    2    0.26
memory_region_init                          7    5    4    0.13
memory_region_insert                       51   16    3    0.44
split_memory_region                        24    9    6    5.61
bsd_squeue_insert_head                      5    3    2   11.13
bsd_squeue_insert_tail                      5    3    3   15.84
bsd_squeue_remove_head                     18    7    5    9.99
find_last_sorted                           40   19   11    1.26
reverse_sorted                            102   28   13    8.07
sorted_insert_iter                        201   59   48   97.53
avl-delete-rec                             72   16    5  410.54
avl-find-smallest                          19    5   11    0.22
avl-insert-rec                             72   23   14   94.97
bst-delete-rec                             68   16   11  174.46
bst-find-rec                               23    6    9    0.60
bst-insert-rec                             68   28   16   60.09
traverse-inorder                            9    6    3    0.21
traverse-posttorder                         9    6    3    0.21
traverse-preorder                           9    6    3    0.22
treap-delete-rec                           80   17   13  565.72
treap-find-rec                             25    6   11    0.82
treap-insert-rec                          108   29   24 5889.46
